"Headline Earnings Per Share (Cont) (Base Currency)",56.84,75.21,64.21,10.55,27.19,7.11,,,,,,,,,,,,,,,,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",56.6,54.13,36.91,5.82,26.88,6.55,,,,,,,,,,,,,,,,
"Net Asset Value Per Share (Base Curency)",301.38,326.92,312.65,342.64,433.62,361.73,,,,,,184.72,,,131.08,133.69,129.15,,99.31,,70.68,
"Price at Period End (Base Currency)",225,1040,1047,955,875,501,404,320,310,422,300,195,119,83,118,110,114,74,97,55,44,
"JSE Market Price at Period End (ZARc)",225,1040,1047,955,875,501,404,320,310,422,300,195,119,83,118,110,114,74,97,55,44,
"JSE Market Price High (ZARc)",1135,1135,1600,1349,1035,505,425,415,540,505,393,220,120,118,125,125,145,145,105,55,80,
"JSE Market Price Low (ZARc)",179,568,600,752,261,261,276,290,270,270,110,110,60,60,88,96,70,70,25,25,30,
"Interim Dividend",,,,,,,,,,,,3,,,,,,,,,,
"JSE Volume Traded (Actual)",8379579,6665504,28304591,16083360,93491328,28861881,59855506,42767131,259451838,138079193,100844837,54985247,94591394,58254798,89342970,32318870,103580954,52175059,91997666,11512849,3839420,
"JSE Rand Value Traded (Actual)",67183782,55635419,284091361,153840373,685171591,121733171,228751610,164832564,1043959564,578791068,238109515,98642454,83989035,49640262,94156134,34889682,100570088,44948671,55883414,4115032,2531504,
"12 Month HEPS",56.84,128.87,64.21,30.63,27.19,56.32,70.75,56.95,55.32,44.09,39.64,31.24,18.8,0.53,4.65,20.4,20.27,20.95,21.69,13.57,10.39,
"12 Month Dividend",,,,,,,,7.4,10.8,7.4,7.4,7,5.75,2,1.9,4.15,4.15,4,5.25,1.5,1.5,

Cash flow items,"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Cash generated by operations",-104244,-69479,-176461,-143210,32998,159790,651326,275861,442465,,,,,,,,,,,,,
"Working capital changes",207127,41459,170426,172751,-53671,143073,-219286,-395070,,,,,,,,,,,,,,
"Cash generated from operations after WC",102883,-28020,-6035,29541,-20673,,,,,-62894,177555,87192,183508,126240,96917,,99137,,16035,-28369,73635,
"Net Cash flow from operating activities",-54525,-115683,-149150,-17170,-317751,-108061,-72614,201930,4723,-174251,168830,10542,74908,-65745,-104419,-82085,38526,-8574,-11751,-3356,1213,
"Net cash flow from investing activities",-102361,73383,-283579,-120813,-439605,-157408,-79686,-60889,-140733,-39952,-7988,2148,-21348,-18474,-28423,-19945,8857,-14903,-76338,-31062,-31316,
"Net cash flow from from financing activities",74600,-100301,536578,287049,792921,238218,103091,-204428,144916,141295,-188768,-95182,100712,169480,89971,48235,352,30260,60164,28817,5974,
"Dividends paid",,,,,,,,,,,,,-15412,,-29916,-15911,-25827,-13556,-10168,,-14143,
"Net increase(decrease) in cash & cash equivalents",-82286,-142601,103849,149066,35565,-27251,-49209,-63387,-21094,,,,,,,,,,,,,
"Cash & Cash Equivalent beginning of period",172791,172791,68942,68942,33377,33377,82586,82586,103680,,,,,,,,,,,,,
"Cash & Cash Equivalent end of period",90505,30190,172791,218008,68942,6126,33377,19199,82586,,,,,,,,,,,,,

Ratios,"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Price/Net Asset Value",0.75,3.18,3.35,2.79,2.02,1.39,,,,,,1.06,,,0.9,0.82,0.88,,0.98,,0.62,
"Price/Cash Flow",-49.34,-218.49,-68.39,-1085.23,-22.77,-71.62,-42.98,24.47,508.2,-37.39,13.72,267.12,12.27,-19.5,-8.33,-19.75,20.92,-116.54,-55.75,-220,244.44,
"Return on Capital Employed",10.77,22.42,10.39,2.9,4.48,1.93,10.06,7.64,10.46,8.54,9.6,9.1,10.21,7.31,2.57,6.5,15.78,7.87,17.3,11.26,18.36,
